,Extra,Model3
0,0.20000000298023224,0.9160000085830688
1,0.20000000298023224,0.921999990940094
2,0.44600000977516174,0.921999990940094
3,0.4440000057220459,0.9200000166893005
4,0.628000020980835,0.9279999732971191
5,0.4480000138282776,0.9160000085830688
6,0.6700000166893005,0.9120000004768372
7,0.6639999747276306,0.9240000247955322
8,0.7480000257492065,0.9440000057220459
9,0.7239999771118164,0.9660000205039978
10,0.8220000267028809,0.9559999704360962
11,0.7620000243186951,0.9599999785423279
12,0.8539999723434448,0.9639999866485596
13,0.7919999957084656,0.9599999785423279
14,0.8980000019073486,0.7900000214576721
15,0.8180000185966492,0.8199999928474426
16,0.9139999747276306,0.8259999752044678
17,0.8240000009536743,0.8320000171661377
18,0.9100000262260437,0.8360000252723694
19,0.8379999995231628,0.8379999995231628
20,0.906000018119812,0.8320000171661377
21,0.8500000238418579,0.8799999952316284
22,0.9160000085830688,0.9599999785423279
23,0.8659999966621399,0.9399999976158142
24,0.9259999990463257,0.9399999976158142
25,0.878000020980835,0.9599999785423279
26,0.9459999799728394,0.9200000166893005
27,0.8700000047683716,0.9580000042915344
28,0.9319999814033508,0.9779999852180481
29,0.8700000047683716,0.9860000014305115
30,0.9300000071525574,0.9900000095367432
31,0.8740000128746033,0.9900000095367432
32,0.9240000247955322,0.9919999837875366
33,0.8820000290870667,
34,0.9399999976158142,
35,0.8740000128746033,
36,0.9300000071525574,
37,0.871999979019165,
38,0.9319999814033508,
39,0.9359999895095825,
