,Actual Classifcation,Predicted Classification,a,b,c
0,1.0,1,0.2510489510489511,-16.80832000000001,0.0
1,1.0,1,1.6440559440559441,7.80922,0.0
2,1.0,1,0.2846153846153846,72.80272000000001,0.0
3,1.0,1,2.6734265734265734,65.80342,0.0
4,1.0,1,2.293006993006993,-38.80612,0.0
5,1.0,1,2.6062937062937066,19.20808,0.0
6,1.0,1,0.3377622377622378,-56.004400000000004,0.0
7,1.0,5,0.9,4.60954,0.0
8,1.0,1,1.7727272727272727,-30.007000000000005,0.0
9,1.0,1,1.330769230769231,4.40956,0.0
10,1.0,1,2.4104895104895108,74.0026,0.0
11,1.0,1,1.4146853146853147,10.608939999999999,0.0
12,1.0,1,1.7671328671328672,42.005799999999994,0.0
13,1.0,1,2.214685314685315,50.60494,0.0
14,1.0,1,2.172727272727273,89.20108,0.0
15,1.0,1,2.074825174825175,-9.009100000000004,0.0
16,1.0,1,1.809090909090909,37.406259999999996,0.0
17,1.0,1,0.5979020979020979,-67.20328,0.0
18,1.0,1,0.2146853146853147,-45.005500000000005,0.0
19,1.0,1,0.955944055944056,94.40056,0.0
20,1.0,1,1.2300699300699303,-1.409860000000009,0.0
21,1.0,1,2.614685314685315,-69.60304,0.0
22,1.0,5,0.8552447552447552,92.20078,0.0
23,1.0,1,2.402097902097902,81.20188,0.0
24,1.0,1,0.9167832167832167,-61.0039,0.0
25,1.0,3,0.8384615384615385,-36.60634,0.0
26,1.0,1,0.5363636363636364,32.206779999999995,0.0
27,1.0,1,2.816083916083916,-8.009200000000007,0.0
28,1.0,1,0.2734265734265734,51.40485999999999,0.0
29,1.0,5,0.8888111888111888,83.80162,0.0
30,1.0,1,1.5377622377622377,-99.20008,0.0
31,1.0,1,1.5993006993006993,94.0006,0.0
32,1.0,1,1.755944055944056,66.40336,0.0
33,1.0,1,2.362937062937063,-45.60544,0.0
34,1.0,1,1.9153846153846155,41.0059,0.0
35,1.0,1,0.527972027972028,77.80222,0.0
36,1.0,1,1.5825174825174826,-6.009399999999999,0.0
37,1.0,1,0.9027972027972028,-60.004000000000005,0.0
38,1.0,1,2.044055944055944,10.808919999999999,0.0
39,1.0,1,1.9853146853146855,-43.405660000000005,0.0
40,1.0,1,1.0678321678321678,-29.207080000000005,0.0
41,1.0,1,2.5391608391608393,-92.20078,0.0
42,1.0,1,2.3797202797202797,-58.60414,0.0
43,1.0,5,0.8188811188811188,18.008200000000002,0.0
44,1.0,1,1.3335664335664337,-30.806920000000005,0.0
45,1.0,1,2.5643356643356645,-88.20118,0.0
46,1.0,1,2.8748251748251747,4.20958,0.0
47,1.0,1,2.4524475524475524,-35.80642,0.0
48,1.0,1,1.2216783216783218,77.40226,0.0
49,1.0,1,0.9951048951048951,23.60764,0.0
50,1.0,1,1.7195804195804196,-33.206680000000006,0.0
51,1.0,1,0.6986013986013986,65.0035,0.0
52,1.0,1,1.2356643356643358,32.40676,0.0
53,1.0,1,1.2832167832167833,-75.60244,0.0
54,1.0,1,2.818881118881119,2.4097599999999995,0.0
55,1.0,1,2.4076923076923076,-56.20438,0.0
56,1.0,1,1.520979020979021,-70.40296000000001,0.0
57,1.0,1,0.6426573426573426,-14.608540000000005,0.0
58,1.0,1,1.7391608391608393,22.80772,0.0
59,1.0,5,0.7909090909090909,83.60164,0.0
60,1.0,1,2.762937062937063,23.20768,0.0
61,1.0,1,2.625874125874126,-97.0003,0.0
62,1.0,1,0.41608391608391604,97.20028,0.0
